







date,confirmed,cured,dead
03-26-2020,84,17,1
03-27-2020,91,17,1
03-28-2020,98,18,1
03-29-2020,109,18,1
03-30-2020,116,18,1
03-31-2020,119,18,1
04-01-2020,134,18,1
04-02-2020,161,18,1
04-03-2020,194,21,1
04-04-2020,217,21,1
04-05-2020,237,25,1
04-06-2020,254,24,1
04-07-2020,261,42,1
04-08-2020,263,44,1
04-09-2020,263,44,1
04-10-2020,267,45,2
04-11-2020,268,57,2
04-12-2020,290,58,2
04-13-2020,308,58,2
04-14-2020,308,62,2
04-15-2020,374,63,2
04-16-2020,374,63,2
04-17-2020,402,69,2
04-18-2020,418,69,2
04-19-2020,437,71,3
04-20-2020,449,71,3
04-21-2020,466,71,4
04-22-2020,474,71,4
04-23-2020,480,92,4
04-24-2020,484,92,4
04-25-2020,342,92,2
04-26-2020,342,83,2
04-27-2020,342,83,2
04-28-2020,343,71,2
04-29-2020,344,71,2
04-30-2020,344,76,2
05-01-2020,353,76,2
05-02-2020,353,76,2
05-03-2020,353,77,2
05-04-2020,362,102,2
05-05-2020,371,127,2
05-05-2020,371,127,2
05-06-2020,374,174,2
05-07-2020,375,176,2
05-08-2020,375,228,2
05-09-2020,375,228,2
05-10-2020,375,263,2
05-11-2020,375,301,2
05-12-2020,375,308,2
05-12-2020,375,308,2
05-13-2020,375,310,2
05-14-2020,375,310,2
05-14-2020,375,310,2
05-15-2020,375,315,2
05-16-2020,376,329,2
05-17-2020,381,335,2
05-18-2020,388,337,2
05-19-2020,391,346,2
05-19-2020,391,346,2
05-20-2020,398,346,2
05-21-2020,423,346,2
05-22-2020,423,346,2
05-23-2020,423,348,3
05-24-2020,423,357,3
05-25-2020,423,357,3
05-26-2020,429,365,3
05-27-2020,434,365,3
05-28-2020,446,368,3
05-29-2020,446,368,3
05-30-2020,447,368,3
05-31-2020,448,372,3
06-01-2020,449,372,3
06-02-2020,451,372,3
06-03-2020,457,372,3
06-04-2020,464,377,3
06-05-2020,464,377,3
06-06-2020,464,400,3
06-06-2020,464,400,3
06-07-2020,472,403,3
06-08-2020,473,404,3
06-09-2020,481,404,3
06-10-2020,485,410,3
06-11-2020,487,410,3
06-12-2020,489,414,3
06-13-2020,489,415,3
06-14-2020,492,415,3
06-15-2020,505,415,3
06-16-2020,514,415,3
06-17-2020,555,415,3
06-18-2020,600,415,3
06-19-2020,675,437,3
06-20-2020,784,437,3
06-21-2020,833,439,3
06-22-2020,1001,442,3
06-23-2020,1169,442,3
06-24-2020,1328,442,3
06-25-2020,1382,446,3
06-26-2020,1557,446,3
06-27-2020,1815,446,4
06-28-2020,1990,447,4
06-29-2020,2185,447,5
06-30-2020,2428,451,8
07-01-2020,2758,460,8
07-02-2020,3080,460,9
07-03-2020,3334,463,11
07-04-2020,3835,463,13
07-05-2020,4277,491,16
07-06-2020,4341,491,17
07-07-2020,4647,494,18
07-08-2020,5029,494,20
07-09-2020,5220,525,24
07-10-2020,5551,536,27
07-11-2020,5931,536,33
07-12-2020,6230,942,36
07-13-2020,6566,1084,39
07-14-2020,6764,1084,44
07-15-2020,7064,1084,44
07-16-2020,7412,1313,51
07-17-2020,7764,1492,53
07-18-2020,8204,1596,59
07-18-2020,8204,1596,59
07-18-2020,8204,1596,59
07-19-2020,8549,1921,62
07-20-2020,8916,1921,63
07-21-2020,9228,1932,64
07-22-2020,9398,1950,66
07-23-2020,9744,2720,67
07-24-2020,10093,2720,70
07-25-2020,10306,3282,75
07-26-2020,10469,3752,76
07-27-2020,10621,3752,78
07-28-2020,10938,3752,79
07-28-2020,10938,3752,79
07-29-2020,11284,4833,80
07-30-2020,11548,5016,81
07-31-2020,11837,5077,82
08-01-2020,12160,5324,83
08-02-2020,12297,5390,84
