







date,confirmed,cured,dead
04-10-2020,1,0,0
04-11-2020,1,0,0
04-12-2020,1,0,0
04-13-2020,1,0,0
04-14-2020,1,0,0
04-15-2020,1,0,0
04-16-2020,1,0,0
04-17-2020,1,0,0
04-18-2020,1,0,0
04-19-2020,1,0,0
04-20-2020,1,0,0
04-21-2020,1,0,0
04-22-2020,1,0,0
04-23-2020,1,0,0
04-24-2020,1,1,0
04-25-2020,1,1,0
04-26-2020,1,1,0
04-27-2020,1,1,0
04-28-2020,1,1,0
04-29-2020,6,1,0
04-30-2020,6,1,2
05-01-2020,7,1,2
05-02-2020,10,1,2
05-03-2020,10,1,2
05-04-2020,12,1,2
05-05-2020,22,1,4
05-05-2020,22,1,4
05-06-2020,25,1,5
05-07-2020,25,1,5
05-08-2020,34,1,7
05-09-2020,34,1,7
05-10-2020,51,1,8
05-11-2020,56,1,9
05-12-2020,65,1,10
05-12-2020,65,1,10
05-13-2020,70,1,12
05-14-2020,85,1,12
05-14-2020,85,1,12
05-15-2020,106,1,15
05-16-2020,122,1,18
05-17-2020,128,1,20
05-18-2020,130,1,20
05-19-2020,167,5,28
05-19-2020,167,5,28
05-20-2020,184,5,30
05-21-2020,197,5,33
05-22-2020,209,11,33
05-23-2020,212,11,39
05-24-2020,222,10,42
05-25-2020,233,10,44
05-26-2020,249,10,49
05-27-2020,256,10,53
05-28-2020,278,11,57
05-29-2020,283,11,65
05-30-2020,310,13,77
05-31-2020,323,14,80
06-01-2020,354,14,84
06-02-2020,399,15,87
06-03-2020,419,17,95
06-04-2020,453,17,103
06-05-2020,469,23,111
06-06-2020,482,23,111
06-06-2020,482,23,111
06-07-2020,484,23,112
06-08-2020,496,23,112
06-09-2020,524,23,127
06-10-2020,560,23,129
06-11-2020,591,23,136
06-12-2020,632,28,139
06-13-2020,705,39,160
06-14-2020,728,53,164
06-15-2020,844,79,208
06-16-2020,885,91,214
06-17-2020,902,271,244
06-18-2020,909,273,248
06-19-2020,919,288,251
