







date,confirmed,cured,dead
03-18-2020,2,0,0
03-19-2020,2,0,0
03-20-2020,2,0,0
03-21-2020,2,0,0
03-22-2020,3,0,0
03-23-2020,3,0,0
03-24-2020,3,0,0
03-25-2020,12,0,0
03-26-2020,16,0,0
03-27-2020,22,0,0
03-28-2020,28,0,0
03-29-2020,29,0,0
03-30-2020,35,0,0
03-31-2020,35,0,0
04-01-2020,36,0,0
04-02-2020,39,0,1
04-03-2020,39,2,1
04-04-2020,39,2,1
04-05-2020,39,3,1
04-06-2020,39,5,1
04-07-2020,39,7,1
04-08-2020,39,7,1
04-09-2020,39,24,1
04-10-2020,40,25,2
04-11-2020,40,28,2
04-12-2020,43,30,2
04-13-2020,45,30,2
04-14-2020,45,30,2
04-15-2020,48,30,2
04-16-2020,48,30,2
04-17-2020,52,30,2
04-18-2020,57,33,2
04-19-2020,61,33,3
04-20-2020,65,35,3
04-21-2020,70,35,3
04-22-2020,74,35,3
04-23-2020,76,37,3
04-24-2020,84,37,3
04-25-2020,84,37,3
04-26-2020,88,42,3
04-27-2020,88,42,3
04-28-2020,95,42,3
04-29-2020,97,54,3
04-30-2020,106,55,3
05-01-2020,109,74,3
05-02-2020,119,75,3
05-03-2020,124,78,3
05-04-2020,137,78,3
05-05-2020,138,92,3
05-05-2020,138,92,3
05-06-2020,146,101,4
05-07-2020,153,103,4
05-08-2020,167,111,4
05-09-2020,252,112,7
05-10-2020,267,117,7
05-11-2020,267,117,7
05-12-2020,441,117,7
05-12-2020,441,117,7
05-13-2020,446,124,7
05-14-2020,654,124,7
05-14-2020,654,124,7
05-15-2020,654,124,7
05-16-2020,679,183,7
05-17-2020,753,188,7
05-18-2020,761,192,7
05-19-2020,772,192,7
05-19-2020,772,192,7
05-20-2020,832,197,7
05-21-2020,866,302,7
05-22-2020,920,336,7
05-23-2020,920,336,7
05-24-2020,920,336,7
05-25-2020,920,336,7
05-26-2020,920,336,7
05-27-2020,1057,779,7
05-28-2020,1057,779,7
05-29-2020,1057,779,7
05-30-2020,1057,779,7
05-31-2020,1057,779,7
06-01-2020,1089,912,7
06-02-2020,1089,912,7
06-03-2020,1089,912,7
06-04-2020,1089,912,7
06-05-2020,1089,912,7
06-06-2020,1089,912,7
06-06-2020,1089,912,7
06-07-2020,1089,912,7
06-08-2020,1200,912,10
06-09-2020,1200,912,10
06-10-2020,1200,912,10
06-11-2020,1200,912,10
06-12-2020,1321,1104,10
06-13-2020,1357,1104,10
06-14-2020,1358,1122,11
06-15-2020,1382,1142,11
06-16-2020,1405,1142,11
06-17-2020,1412,1142,11
06-18-2020,1416,1144,11
06-19-2020,1430,1194,11
06-20-2020,1430,1194,11
06-21-2020,1430,1194,11
06-22-2020,1430,1194,11
06-23-2020,1477,1213,18
06-24-2020,1489,1223,18
06-25-2020,1497,1223,18
06-26-2020,1531,1233,21
06-27-2020,1531,1233,21
06-28-2020,1557,1311,22
06-29-2020,1568,1311,22
06-30-2020,1594,1329,24
07-01-2020,1632,1348,30
07-02-2020,1632,1348,30
07-03-2020,1632,1348,30
07-04-2020,1632,1348,30
07-05-2020,1632,1348,30
07-06-2020,1632,1348,30
07-07-2020,1895,1348,42
07-08-2020,1895,1348,42
07-09-2020,1895,1348,42
07-10-2020,1895,1348,42
07-11-2020,1895,1348,42
07-12-2020,1895,1412,42
07-13-2020,1895,1412,42
07-14-2020,1895,1412,42
07-15-2020,1895,1412,42
07-16-2020,1895,1412,42
07-17-2020,2810,1450,109
07-18-2020,2980,1462,120
07-18-2020,2980,1462,120
07-18-2020,2980,1462,120
07-19-2020,2980,1462,120
07-20-2020,3326,1620,128
07-21-2020,3386,1620,128
07-22-2020,3583,1677,128
07-23-2020,3789,1677,134
07-24-2020,3856,1677,136
07-25-2020,4328,1953,139
07-26-2020,4481,2350,139
07-27-2020,4552,2815,140
07-28-2020,5002,3195,142
07-28-2020,5002,3195,142
07-29-2020,5249,3285,146
07-30-2020,5555,3289,149
07-31-2020,5963,3803,151
08-01-2020,6228,4130,165
08-02-2020,6347,4493,170
08-03-2020,6580,4701,171
08-04-2020,6793,5109,173
08-05-2020,7022,5667,176
08-06-2020,7164,5786,199
08-07-2020,7486,6264,200
08-08-2020,7903,6431,203
08-09-2020,8085,6698,235
08-10-2020,8210,6802,241
08-11-2020,8275,7004,241
08-12-2020,8501,7233,246
08-13-2020,8663,7401,246
08-14-2020,9021,7586,256
08-15-2020,9186,8065,260
08-16-2020,9343,8412,260
08-17-2020,9839,8575,264
08-18-2020,9981,8776,264
08-19-2020,10218,9126,269
08-20-2020,10372,9126,274
08-21-2020,10627,9126,277
08-22-2020,10831,9942,279
08-23-2020,11082,9942,280
08-24-2020,11148,10208,280
08-25-2020,11285,10400,282
08-26-2020,11376,10693,282
08-27-2020,11601,10840,282
08-28-2020,11779,10945,283
08-29-2020,11902,11092,284
08-30-2020,12025,11454,287
08-31-2020,12097,11469,288
09-01-2020,12381,11479,290
09-02-2020,12415,11494,292
09-03-2020,12523,11562,292
09-04-2020,12639,11572,292
09-05-2020,12709,11668,292
09-06-2020,12776,11674,295
09-07-2020,12836,11748,295
09-08-2020,12952,11787,297
09-09-2020,13112,11839,300
09-10-2020,13214,11899,300
09-11-2020,13323,11899,306
09-12-2020,13466,12007,312
09-13-2020,13539,12260,312
09-14-2020,13720,12380,320
09-15-2020,13819,12590,324
09-16-2020,13887,12869,326
09-17-2020,13928,13029,326
09-18-2020,14022,13207,329
09-19-2020,14070,13365,330
09-20-2020,14131,13365,330
09-21-2020,14175,13629,331
09-22-2020,14389,13629,331
09-23-2020,14443,13629,332
09-24-2020,14491,13643,332
09-25-2020,14515,13643,332
09-26-2020,14612,13727,332
09-27-2020,14641,13784,332
09-28-2020,14660,13821,332
09-29-2020,14715,13937,332
09-30-2020,14759,13959,332
10-01-2020,14802,13961,333
10-02-2020,14830,13980,333
10-03-2020,14974,14094,333
10-04-2020,15052,14187,333
10-05-2020,15089,14306,334
10-06-2020,15170,14313,335
10-07-2020,15224,14342,335
10-08-2020,15301,14365,335
10-09-2020,15339,14439,336
10-10-2020,15415,14541,337
10-11-2020,15458,14599,337
10-12-2020,15549,14682,345
10-13-2020,15587,14783,345
10-14-2020,15616,14850,345
10-15-2020,15659,14899,346
10-16-2020,15659,14899,346
10-17-2020,15789,14927,346
10-18-2020,15853,15005,346
10-19-2020,15897,15031,346
10-20-2020,15982,15038,346
10-21-2020,16000,15168,346
10-22-2020,16035,15168,346
10-23-2020,16095,15179,346
10-24-2020,16117,15179,348
10-25-2020,16117,15179,348
10-26-2020,16200,15445,348
10-27-2020,16243,15481,348
10-28-2020,16285,15559,348
10-29-2020,16325,15585,348
10-30-2020,16415,15600,349
10-31-2020,16432,15680,349
11-01-2020,16480,15733,349
11-02-2020,16543,15733,349
11-03-2020,16661,15763,349
11-04-2020,16698,15819,349
11-05-2020,16770,15827,349
11-06-2020,16819,15862,349
11-07-2020,16908,15873,349
11-08-2020,16954,15950,349
11-09-2020,16971,16011,349
11-10-2020,16997,16019,350
11-11-2020,17036,16070,350
11-12-2020,17056,16102,350
11-13-2020,17093,16134,350
11-14-2020,17097,16137,350
11-15-2020,17123,16137,353
11-16-2020,17187,16400,353
11-17-2020,17243,16473,353
11-18-2020,17280,16495,356
11-19-2020,17350,16591,356
11-20-2020,17373,16606,356
11-21-2020,17394,16659,356
11-22-2020,17424,16701,357
11-23-2020,17454,16701,357
11-24-2020,17466,16707,357
11-25-2020,17535,16755,357
11-26-2020,17553,16779,357
11-27-2020,17569,16845,357
11-28-2020,17589,16925,357
11-29-2020,17608,16983,357
11-30-2020,17647,16998,357
12-01-2020,17665,17059,357
12-02-2020,17700,17086,357
12-03-2020,17730,17102,357
12-04-2020,17857,17145,364
12-05-2020,17898,17168,364
12-06-2020,17916,17173,364
12-07-2020,17931,17211,364
12-08-2020,17963,17268,364
12-09-2020,18062,17295,364
12-10-2020,18091,17307,364
12-11-2020,18161,17329,365
12-12-2020,18217,17339,366
12-13-2020,18274,17388,367
12-14-2020,18322,17409,367
12-15-2020,18428,17487,368
12-16-2020,18456,17635,369
12-17-2020,18504,17680,369
12-18-2020,18575,17729,373
12-19-2020,18620,17756,373
12-20-2020,18716,17762,373
12-21-2020,18768,17818,375
12-22-2020,18881,17890,379
12-23-2020,19122,17969,380
12-24-2020,19234,18036,381
12-25-2020,19571,18127,381
12-26-2020,19671,18200,382
12-27-2020,19834,18210,383
12-28-2020,19943,18296,384
12-29-2020,20177,18380,385
12-30-2020,20462,18530,386
12-31-2020,20725,18660,388
01-01-2021,20997,18773,390
01-02-2021,21230,18942,392
01-03-2021,21582,19083,394
01-04-2021,21993,19229,398
01-05-2021,22645,19526,412
01-06-2021,23495,19672,417
01-07-2021,24297,19980,423
01-08-2021,25326,20349,441
01-09-2021,26567,20512,464
01-10-2021,27728,20598,469
01-11-2021,28596,20781,471
01-12-2021,29757,21074,495
01-13-2021,31100,21568,509
01-14-2021,32800,22504,514
01-15-2021,34278,24105,527
01-16-2021,36074,25106,537
01-17-2021,37605,26159,546
01-18-2021,38207,27327,559
01-19-2021,39515,28066,578
01-20-2021,40949,29775,585
01-21-2021,42213,31522,597
01-22-2021,43333,32667,610
01-23-2021,44592,34293,627
01-24-2021,45337,35960,639
01-25-2021,46146,38639,660
01-26-2021,47622,40362,672
01-27-2021,48911,41282,688
01-28-2021,50319,42771,705
01-29-2021,51624,44133,728
01-30-2021,53352,45443,745
01-31-2021,54217,48000,763
02-01-2021,55042,49394,780
02-02-2021,56233,49696,794
02-03-2021,57489,50479,804
02-04-2021,59003,51305,812
02-05-2021,60427,52045,828
02-06-2021,61427,53410,839
02-07-2021,62633,54835,853
02-08-2021,63573,56329,869
02-09-2021,64610,58319,881
02-10-2021,65573,58875,901
02-11-2021,66598,59989,914
02-12-2021,67681,61302,931
02-13-2021,68454,62575,940
02-14-2021,69437,62870,951
02-15-2021,70248,63262,959
02-16-2021,70823,63609,974
02-17-2021,71677,64040,983
02-18-2021,72467,65051,991
02-19-2021,73203,66013,1002
02-20-2021,73894,66943,1016
02-21-2021,74503,67944,1020
02-22-2021,75027,68928,1031
02-23-2021,75582,69436,1040
02-24-2021,76484,69803,1051
02-25-2021,77171,70800,1059
02-26-2021,77639,72635,1066
02-27-2021,78202,73609,1081
