







date,confirmed,cured,dead
03-20-2020,1,0,0
03-21-2020,3,0,0
03-22-2020,3,0,0
03-23-2020,3,0,1
03-24-2020,3,0,1
03-25-2020,3,0,1
03-26-2020,3,0,1
03-27-2020,5,0,1
03-28-2020,7,0,1
03-29-2020,7,0,1
03-30-2020,7,0,1
03-31-2020,8,0,1
04-01-2020,8,0,1
04-02-2020,9,0,1
04-03-2020,9,0,1
04-04-2020,9,0,1
04-05-2020,9,0,1
04-06-2020,10,0,1
04-07-2020,11,0,2
04-08-2020,11,0,3
04-09-2020,11,0,3
04-10-2020,13,0,3
04-11-2020,14,0,3
04-12-2020,14,0,3
04-13-2020,17,0,3
04-14-2020,17,0,3
04-15-2020,23,1,3
04-16-2020,23,1,3
04-17-2020,24,2,3
04-18-2020,25,2,3
04-19-2020,25,2,3
04-20-2020,25,2,3
04-21-2020,28,2,3
04-22-2020,28,2,4
04-23-2020,28,2,4
04-24-2020,29,2,4
04-25-2020,31,2,4
04-26-2020,31,2,4
04-27-2020,32,5,4
04-28-2020,32,5,4
04-29-2020,32,5,4
04-30-2020,40,5,4
05-01-2020,40,5,4
05-02-2020,34,5,4
05-03-2020,34,5,4
05-04-2020,34,5,4
05-05-2020,34,5,4
05-05-2020,34,5,4
05-06-2020,34,5,4
05-07-2020,34,5,4
05-08-2020,34,9,4
05-09-2020,35,9,4
05-10-2020,36,9,4
05-11-2020,36,9,4
05-12-2020,36,9,4
05-12-2020,36,9,4
05-13-2020,37,12,4
05-14-2020,37,13,4
05-14-2020,37,13,4
05-15-2020,42,13,4
05-16-2020,42,13,4
05-17-2020,44,17,4
05-18-2020,46,18,4
05-19-2020,46,18,4
05-19-2020,46,18,4
05-20-2020,48,18,4
05-21-2020,51,18,4
05-22-2020,51,18,4
05-23-2020,56,18,4
05-24-2020,56,25,4
05-25-2020,56,25,4
05-26-2020,56,25,4
05-27-2020,132,25,4
05-28-2020,149,28,4
05-29-2020,149,28,4
05-30-2020,174,29,4
05-31-2020,178,29,4
06-01-2020,203,29,4
06-02-2020,206,29,4
06-03-2020,222,29,4
06-04-2020,237,31,4
06-05-2020,265,33,4
06-06-2020,279,33,4
06-06-2020,279,33,4
06-07-2020,282,34,4
06-08-2020,287,46,4
06-09-2020,314,46,4
06-10-2020,320,49,4
06-11-2020,332,51,4
06-12-2020,343,51,4
06-13-2020,356,54,4
06-14-2020,383,54,4
06-15-2020,387,54,4
06-16-2020,391,62,4
06-17-2020,401,63,4
06-18-2020,463,63,4
06-19-2020,479,63,4
06-20-2020,479,63,4
06-21-2020,489,64,6
06-22-2020,512,64,6
06-23-2020,525,64,6
06-24-2020,530,123,6
06-25-2020,551,128,6
06-26-2020,561,135,6
06-27-2020,567,142,6
06-28-2020,567,142,6
06-29-2020,574,152,7
06-30-2020,591,162,7
07-01-2020,605,166,7
07-02-2020,617,173,7
07-03-2020,625,176,7
07-04-2020,698,181,8
07-05-2020,716,181,8
07-06-2020,734,197,9
07-07-2020,787,201,9
07-08-2020,885,206,9
07-09-2020,885,206,9
07-10-2020,942,320,13
07-11-2020,982,320,18
07-12-2020,985,328,18
07-13-2020,1034,343,19
07-14-2020,1064,343,20
07-15-2020,1089,395,20
07-16-2020,1362,425,23
07-17-2020,1420,438,24
07-18-2020,1478,439,25
07-18-2020,1478,439,25
07-18-2020,1478,439,25
07-19-2020,1611,472,25
07-20-2020,1713,472,26
07-21-2020,1820,488,26
07-22-2020,2034,510,26
07-23-2020,2124,510,28
07-24-2020,2296,514,32
07-25-2020,2434,518,34
07-26-2020,2512,518,34
07-27-2020,2704,542,36
07-28-2020,2817,604,40
07-28-2020,2817,604,40
07-29-2020,2879,887,41
07-30-2020,3092,924,53
07-31-2020,3169,1004,67
08-01-2020,3659,1011,69
08-02-2020,3921,1016,70
08-03-2020,4075,1057,80
08-04-2020,4221,1238,81
08-05-2020,4221,1238,81
08-06-2020,4339,1264,84
08-07-2020,4451,1345,102
08-08-2020,4575,1416,102
08-09-2020,4649,1437,104
08-10-2020,4748,1524,104
08-11-2020,4818,1524,104
08-12-2020,4893,1620,122
08-13-2020,4990,1927,128
08-14-2020,5072,1998,128
08-15-2020,5176,2047,130
08-16-2020,5261,2092,132
08-17-2020,5308,3848,135
08-18-2020,5378,4105,141
08-19-2020,5643,4442,150
08-20-2020,5745,4525,151
08-21-2020,5815,4587,152
08-22-2020,5893,4629,153
08-23-2020,5930,4872,155
08-24-2020,6070,4950,155
08-25-2020,6196,4961,166
08-26-2020,6251,5001,179
08-27-2020,6292,5010,189
08-28-2020,6388,5043,195
08-29-2020,6406,5056,196
08-30-2020,6412,5061,196
08-31-2020,6497,5221,202
09-01-2020,6559,5241,203
09-02-2020,6638,5250,206
09-03-2020,6678,5263,206
09-04-2020,6837,5345,206
09-05-2020,6837,5345,206
09-06-2020,6837,5345,206
09-07-2020,7298,5455,210
09-08-2020,7388,5477,218
09-09-2020,7429,5542,222
09-10-2020,7453,5635,222
09-11-2020,7479,5660,224
09-12-2020,7508,5675,224
09-13-2020,7526,5678,224
09-14-2020,7531,5690,224
09-15-2020,7576,5783,224
09-16-2020,7598,5823,224
09-17-2020,7633,5841,224
09-18-2020,7647,5883,224
09-19-2020,7672,5914,225
09-20-2020,7683,5924,225
09-21-2020,7683,5924,225
09-22-2020,7711,5979,226
09-23-2020,7725,6007,227
09-24-2020,7752,6043,227
09-25-2020,7787,6057,227
09-26-2020,7803,6067,227
09-27-2020,7812,6106,227
09-28-2020,7816,6112,228
09-29-2020,7837,6122,228
09-30-2020,7838,6303,228
10-01-2020,7850,6312,228
10-02-2020,7858,6322,228
10-03-2020,7885,6327,228
10-04-2020,7888,6359,228
10-05-2020,7898,6424,228
10-06-2020,7915,6440,229
10-07-2020,7919,6441,229
10-08-2020,7951,6446,229
10-09-2020,7994,6474,229
10-10-2020,8010,6492,230
10-11-2020,8011,6504,230
10-12-2020,8021,7627,230
10-13-2020,8036,7632,230
10-14-2020,8055,7640,231
10-15-2020,8075,7669,231
10-16-2020,8099,7673,231
10-17-2020,8110,7673,231
10-18-2020,8147,7678,231
10-19-2020,8159,7683,232
10-20-2020,8187,7692,233
10-21-2020,8215,7725,236
10-22-2020,8242,7742,236
10-23-2020,8257,7771,236
10-24-2020,8269,7785,236
10-25-2020,8276,7797,237
