2018year,country,country,population,continent
1,Afghanistan,阿富汗,37172386,Asia
2,Albania,阿尔巴尼亚,2866376,Europe
3,Algeria,阿尔及利亚,42228429,Africa
4,Andorra,安道尔,77006,Europe
5,Angola,安哥拉,30809762,Africa
6,Antigua and Barbuda,安提瓜和巴布达,96286,America
7,Argentina,阿根廷,44494502,America
8,Armenia,美国,326687501,America
9,Aruba,阿鲁巴,105845,America
10,Australia,澳大利亚,24982688,Oceania
11,Austria,奥地利,8840521,Europe
12,Azerbaijan,阿塞拜疆,9939800,Asia
13,Bahamas,巴哈马,385640,America
14,Bahrain,巴林,1569439,Asia
15,Bangladesh,孟加拉,161356039,Asia
16,Barbados,巴巴多斯,286641,America
17,Belarus,白俄罗斯,9483499,Europe
18,Belgium,比利时,11433256,Europe
19,Belize,伯利兹,383071,America
20,Benin,贝宁,11485048,Africa
21,Bhutan,不丹,"754,394",Asia
22,Bolivia,玻利维亚,"11,353,142",America
23,Bosnia and Herzegovina,波黑,"3,323,929",Europe
24,Botswana,博茨瓦纳,"2,254,126",Africa
25,Brazil,巴西,"209,469,333",America
26,Brunei,文莱,"428,962",Asia
27,Bulgaria,保加利亚,"7,025,037",Europe
28,Burkina Faso,布基纳法索,"19,751,535",Africa
29,Burma,缅甸,"53,708,395",Asia
30,Burundi,布隆迪,"11,175,378",Africa
31,Cabo Verde,佛得角,"543,767",Africa
32,Cambodia,柬埔寨,"16,249,798",Asia
33,Cameroon,喀麦隆,"25,216,237",Africa
34,Canada,加拿大,"37,057,765",America
35,Cape Verde,佛得角,"543,767",Africa
36,Cayman Islands,开曼群岛,"64,174",America
37,Central African Republic,中非,"4,666,377",Africa
38,Chad,乍得,"15,477,751",Africa
39,Chile,智利,"18,729,160",America
40,China,中国,"1,392,730,000",Asia
41,Colombia,哥伦比亚,"49,648,685",America
42,Comoros,科摩罗,"832,322",Africa
43,Congo (Brazzaville),刚果(布),"5,244,363",Africa
44,Congo (Kinshasa),刚果(金),"84,068,091",Africa
45,Costa Rica,哥斯达黎加,"4,999,441",America
46,Cote d'Ivoire,科特迪瓦,"25,069,229",Africa
47,Croatia,克罗地亚,"4,087,843",Europe
48,Cuba,古巴,"11,338,138",America
49,Curacao,库拉索,"159,800",America
50,Cyprus,塞浦路斯,"1,189,265",Europe
51,Czechia,捷克,"10,629,928",Europe
52,Denmark,丹麦,"5,793,636",Europe
53,Djibouti,吉布提,"958,920",Africa
54,Dominica,多米尼克,"71,625",America
55,Dominican Republic,多米尼加,"10,627,165",America
56,East Timor,东帝汶,"1,267,972",Asia
57,Ecuador,厄瓜多尔,"17,084,357",America
58,Egypt,埃及,"98,423,595",Africa
59,El Salvador,萨尔瓦多,"6,420,744",America
60,Equatorial Guinea,赤道几内亚,"1,308,974",Africa
61,Eritrea,厄立特里亚,"6,700,000",Africa
62,Estonia,爱沙尼亚,"1,321,977",Europe
63,Eswatini,斯威士兰,"1,136,191",Africa
64,Ethiopia,埃塞俄比亚,"109,224,559",Africa
65,Fiji,斐济,"883,483",Oceania
66,Finland,芬兰,"5,515,525",Europe
67,France,法国,"66,977,107",Europe
68,French Guiana,圭亚那,"779,004",America
69,Gabon,加蓬,"2,119,275",Africa
70,Gambia,冈比亚,"2,280,102",Africa
71,Georgia,格鲁吉亚,"3,726,549",Asia
72,Germany,德国,"82,905,782",Europe
73,Ghana,加纳,"29,767,108",Africa
74,Greece,希腊,"10,731,726",Europe
75,Greenland,格陵兰,"56,025",America
76,Grenada,格林纳达,"111,454",America
77,Guadeloupe,瓜德罗普,"439,000",America
78,Guam,关岛,"165,768",Oceania
79,Guatemala,危地马拉,"17,247,807",America
80,Guinea,几内亚,"12,414,318",Africa
81,Guinea-Bissau,几内亚比绍,"1,874,309",Africa
82,Guyana,圭亚那,"779,004",America
83,Haiti,海地,"11,123,176",America
84,Holy See,梵蒂冈,800,Europe
85,Honduras,洪都拉斯,"9,587,522",America
